Date,Person,Count,Denomination,Currency,Note
2017-01-03,Zach,1,0.01,USD,
2017-01-04,Zach,2,0.01,USD,
2017-01-04,Zach,1,0.10,USD,
2017-01-04,Dad,2,0.10,USD,
2017-01-06,Zach,1,0.01,USD,
2017-01-06,Dad,2,0.01,USD,
2017-01-06,Dad,1,0.05,USD,
2017-01-10,Zach,1,0.01,USD,
2017-01-10,Zach,1,0.10,USD,
2017-01-10,Dad,1,0.01,USD,
2017-01-11,Zach,1,0.10,USD,
2017-01-11,Zach,1,0.01,USD,
2017-01-11,Zach,1,0.01,USD,
2017-01-13,Zach,1,0.01,USD,
2017-01-13,Zach,1,0.01,USD,
2017-01-13,Dad,1,0.25,USD,
2017-01-13,Dad,1,0.10,USD,Not labelled
2017-01-15,Zach,1,0.01,USD,
2017-01-15,Zach,1,0.01,USD,
2017-01-16,Dad,1,0.01,USD,
2017-01-16,Dad,1,0.01,USD,
2017-01-17,Zach,1,0.01,USD,
2017-01-17,Zach,1,0.01,USD,
2017-01-18,Zach,1,0.01,USD,
2017-01-18,Zach,1,0.01,USD,
2017-01-19,Dad,1,0.05,USD,
2017-01-21,Zach,1,0.01,USD,
2017-01-21,Zach,1,0.10,USD,
2017-01-21,Zach,1,0.01,USD,
2017-01-22,Zach,1,0.10,USD,
2017-01-22,Zach,1,0.01,USD,
2017-01-22,Zach,1,0.05,USD,
2017-01-24,Zach,1,0.01,USD,
2017-01-24,Zach,1,0.10,USD,
2017-01-24,Zach,1,0.01,USD,
2017-01-26,Zach,1,0.01,USD,
2017-01-27,Dad,1,0.01,USD,
2017-01-27,Dad,3,0.01,USD,
2017-01-27,Dad,1,0.10,USD,
2017-01-29,Zach,1,0.01,USD,
2017-01-30,Zach,1,0.01,USD,
2017-01-30,Zach,1,0.01,USD,
2017-01-30,Dad,2,0.01,USD,
2017-01-31,Zach,1,0.10,USD,
2017-01-31,Zach,7,0.01,USD,
2017-01-31,Zach,1,0.10,USD,
2017-02-01,Zach,1,0.01,USD,
2017-02-02,Zach,1,0.01,USD,
2017-02-03,Zach,1,0.01,USD,
2017-02-05,Zach,1,0.01,USD,
2017-02-06,Zach,1,0.01,USD,
2017-02-06,Zach,1,0.01,USD,
2017-02-06,Zach,1,0.01,USD,
2017-02-06,Zach,1,0.01,USD,
2017-02-08,Zach,1,0.01,USD,
2017-02-08,Dad,1,0.05,USD,
2017-02-08,Dad,1,0.01,USD,
2017-02-08,Dad,1,0.01,USD,
2017-02-09,Zach,1,0.01,USD,
2017-02-11,Zach,1,0.01,USD,
2017-02-12,Zach,2,0.01,USD,
2017-02-13,Zach,1,0.01,USD,
2017-02-13,Zach,1,0.01,USD,
2017-02-19,Dad,1,0.01,USD,
2017-02-22,Zach,1,0.01,USD,
2017-02-24,Zach,1,0.01,USD,
2017-02-24,Zach,1,0.01,USD,
2017-02-26,Dad,1,0.01,USD,
2017-02-26,Dad,1,0.01,USD,
2017-02-26,Dad,1,0.01,USD,
2017-02-26,Dad,1,0.01,USD,
2017-02-26,Zach,2,0.01,USD,
2017-02-26,Zach,1,0.01,USD,
2017-03-05,Dad,9,0.01,USD,
2017-03-05,Dad,1,0.10,USD,
2017-03-07,Dad,1,0.10,USD,
2017-03-07,Dad,1,0.01,USD,
2017-03-07,Dad,1,0.01,USD,
2017-03-08,Zach,1,0.01,USD,
2017-03-08,Dad,1,0.01,USD,
2017-03-09,Zach,1,1.00,USD,
2017-03-09,Zach,1,0.01,USD,
2017-03-10,Dad,1,0.10,USD,
2017-03-11,Zach,1,0.01,USD,
2017-03-12,Zach,1,0.10,USD,
2017-03-13,Noah,1,0.10,USD,
2017-03-14,Dad,1,0.01,USD,Counted once here (sent to both group thread and individual)
2017-03-15,Dad,1,0.01,USD,
2017-03-15,Dad,1,0.01,USD,
2017-03-19,Dad,1,0.01,USD,
2017-03-20,Zach,1,0.01,USD,
2017-03-22,Zach,1,0.01,USD,
2017-03-24,Zach,1,0.01,USD,
2017-03-27,Zach,1,0.01,EUR,
2017-03-28,Zach,1,0.20,GBP,
2017-03-28,Zach,1,0.01,GBP,
2017-03-28,Zach,1,0.02,GBP,
2017-03-28,Dad,1,0.01,USD,
2017-03-30,Dad,1,0.01,USD,
2017-03-31,Dad,3,0.01,USD,
2017-04-02,Noah,1,0.01,USD,
2017-04-03,Zach,1,0.01,USD,
2017-04-04,Zach,1,0.01,USD,
2017-04-05,Dad,1,0.01,USD,
2017-04-07,Zach,1,0.01,USD,
2017-04-11,Dad,1,0.10,USD,
2017-04-12,Zach,1,0.01,USD,
2017-04-12,Dad,2,0.01,USD,
2017-04-13,Zach,1,0.01,USD,
2017-04-14,Zach,1,0.01,USD,
2017-04-15,Zach,1,0.01,USD,
2017-04-16,Zach,1,0.01,USD,
2017-04-19,Zach,1,0.10,USD,
2017-04-19,Dad,1,0.01,USD,
2017-04-22,Zach,1,0.01,USD,
2017-04-22,Zach,1,0.01,USD,
2017-04-24,Zach,1,0.01,USD,
2017-04-25,Dad,1,0.01,USD,
2017-04-26,Zach,1,0.01,USD,
2017-04-26,Zach,1,0.10,USD,
2017-04-26,Dad,1,0.01,USD,
2017-04-26,Zach,1,0.01,USD,
2017-04-28,Zach,1,0.01,USD,
2017-05-01,Zach,1,0.01,USD,
